"id","foodName","path","publicUrl"
"s2e3-marentang","玛仁糖/切糕","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e3-marentang.png","/food-images/s2e3-marentang.png"
"s2e3-rice-lotus","桂花糯米藕","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e3-rice-lotus.png","/food-images/s2e3-rice-lotus.png"
"s2e4-xiguajiang","郓城西瓜酱","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e4-xiguajiang.png","/food-images/s2e4-xiguajiang.png"
"s2e4-pucai","济南奶汤蒲菜","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e4-pucai.png","/food-images/s2e4-pucai.png"
"s2e4-pucai-dumpling","淮安蒲菜水饺","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e4-pucai-dumpling.png","/food-images/s2e4-pucai-dumpling.png"
"s2e4-chenpi-redbean","陈皮红豆沙","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e4-chenpi-redbean.png","/food-images/s2e4-chenpi-redbean.png"
"s2e4-ginger-milk","姜撞奶","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e4-ginger-milk.png","/food-images/s2e4-ginger-milk.png"
"s2e4-steamed-dishes","天门蒸菜","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e4-steamed-dishes.png","/food-images/s2e4-steamed-dishes.png"
"s2e4-chicken-feet","泡椒凤爪","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e4-chicken-feet.png","/food-images/s2e4-chicken-feet.png"
"s2e5-chicken-mushroom","小鸡炖蘑菇","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e5-chicken-mushroom.png","/food-images/s2e5-chicken-mushroom.png"
"s2e5-beijing-hotpot","北京涮肉火锅","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e5-beijing-hotpot.png","/food-images/s2e5-beijing-hotpot.png"
"s2e5-mushroom-hotpot","云南菌子火锅","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e5-mushroom-hotpot.png","/food-images/s2e5-mushroom-hotpot.png"
"s2e5-naren","纳仁","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e5-naren.png","/food-images/s2e5-naren.png"
"s2e6-huaziyu","清蒸华子鱼","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e6-huaziyu.png","/food-images/s2e6-huaziyu.png"
